,permno,namedt,nameenddt,shrcd,exchcd,siccd,ncusip,ticker,comnam,shrcls,permco,hexcd,cusip,st_date,end_date,namedum,s_date,e_date
2897,11182,2016-03-24,2019-06-27,73,4,6726,25490K34,GASL,DIREXION SHARES E T F TRUST,,53101,4,25460E29,2010-07-14,2020-03-27,2.0,2010-07-14,2020-03-27
2898,11182,2019-06-28,2020-03-23,73,4,6726,25460E15,GASL,DIREXION SHARES E T F TRUST,,53101,4,25460E29,2010-07-14,2020-03-27,2.0,2010-07-14,2020-03-27
2899,11182,2020-03-24,2020-03-27,73,4,6726,25460E29,GASL,DIREXION SHARES E T F TRUST,,53101,4,25460E29,2010-07-14,2020-03-27,2.0,2010-07-14,2020-03-27
2927,11196,2010-07-14,2012-09-05,73,4,6726,25459W39,RETS,DIREXION SHARES E T F TRUST,,53101,4,25459W39,2010-07-14,2012-09-05,2.0,2010-07-14,2012-09-05
3081,11264,2010-07-14,2020-04-22,73,4,6726,25459W41,RETL,DIREXION SHARES E T F TRUST,,53101,4,25460G81,2010-07-14,2023-12-29,2.0,2010-07-14,2023-12-29
3082,11264,2020-04-23,2023-12-29,73,4,6726,25460G81,RETL,DIREXION SHARES E T F TRUST,,53101,4,25460G81,2010-07-14,2023-12-29,2.0,2010-07-14,2023-12-29
3282,11361,2010-07-01,2020-07-30,71,1,1311,26827L10,ECT,E C A MARCELLUS TRUST I,,53460,1,26827L10,2010-07-01,2020-07-30,2.0,2010-07-01,2020-07-30
3291,11363,2010-07-07,2016-10-18,73,4,6726,26846181,SCIN,E G A EMERGING GLOBAL SHARES TR,,53146,4,19762B88,2010-07-07,2019-06-14,2.0,2010-07-07,2019-06-14
3292,11363,2016-10-19,2019-06-14,73,4,6726,19762B88,SCIN,COLUMBIA E T F TRUST II,,53146,4,19762B88,2010-07-07,2019-06-14,2.0,2010-07-07,2019-06-14
3310,11370,2010-07-29,2016-08-21,11,1,6282,29404K10,ENV,ENVESTNET INC,,53461,1,29404K10,2010-07-29,2023-12-29,2.0,2010-07-29,2023-12-29
3311,11370,2016-08-22,2017-04-20,11,1,7389,29404K10,ENV,ENVESTNET INC,,53461,1,29404K10,2010-07-29,2023-12-29,2.0,2010-07-29,2023-12-29
3312,11370,2017-04-21,2021-03-28,11,1,7372,29404K10,ENV,ENVESTNET INC,,53461,1,29404K10,2010-07-29,2023-12-29,2.0,2010-07-29,2023-12-29
3313,11370,2021-03-29,2023-12-29,11,1,7389,29404K10,ENV,ENVESTNET INC,,53461,1,29404K10,2010-07-29,2023-12-29,2.0,2010-07-29,2023-12-29
3443,11407,2010-07-23,2015-11-17,73,4,6726,37950E76,LIT,GLOBAL X FUNDS,,53120,4,37954Y85,2010-07-23,2023-12-29,2.0,2010-07-23,2023-12-29
3444,11407,2015-11-18,2023-12-29,73,4,6726,37954Y85,LIT,GLOBAL X FUNDS,,53120,4,37954Y85,2010-07-23,2023-12-29,2.0,2010-07-23,2023-12-29
3673,11505,2010-07-29,2015-10-08,73,4,6726,37950E83,BRAF,GLOBAL X FUNDS,,53120,4,37950E83,2010-07-29,2015-10-08,2.0,2010-07-29,2015-10-08
3998,11648,2010-07-08,2017-10-06,73,4,6726,37950E84,BRAQ,GLOBAL X FUNDS,,53120,4,37950E84,2010-07-08,2017-10-06,2.0,2010-07-08,2017-10-06
4046,11664,2010-07-22,2019-09-08,11,1,6141,39304D10,GDOT,GREEN DOT CORP,A,53462,1,39304D10,2010-07-22,2023-12-29,2.0,2010-07-22,2023-12-29
4047,11664,2019-09-09,2021-04-05,11,1,7389,39304D10,GDOT,GREEN DOT CORP,A,53462,1,39304D10,2010-07-22,2023-12-29,2.0,2010-07-22,2023-12-29
4048,11664,2021-04-06,2023-12-29,11,1,6141,39304D10,GDOT,GREEN DOT CORP,A,53462,1,39304D10,2010-07-22,2023-12-29,2.0,2010-07-22,2023-12-29
4386,11814,2010-07-16,2014-03-25,73,4,6726,46428954,AXUT,ISHARES TRUST,,37493,4,46428954,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4755,11969,2010-07-16,2014-03-25,73,4,6726,46428955,AXHE,ISHARES TRUST,,37493,4,46428955,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4760,11972,2010-07-16,2014-03-25,73,4,6726,46428956,AXTE,ISHARES TRUST,,37493,4,46428956,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4770,11979,2010-07-16,2014-03-25,73,4,6726,46428957,AXMT,ISHARES TRUST,,37493,4,46428957,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4771,11980,2010-07-16,2014-03-25,73,4,6726,46428958,AXIT,ISHARES TRUST,,37493,4,46428958,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4781,11984,2010-07-16,2014-03-25,73,4,6726,46428959,AXEN,ISHARES TRUST,,37493,4,46428959,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4784,11986,2010-07-16,2014-03-25,73,4,6726,46428961,AXID,ISHARES TRUST,,37493,4,46428961,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4786,11988,2010-07-16,2014-03-25,73,4,6726,46428962,AXSL,ISHARES TRUST,,37493,4,46428962,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4787,11989,2010-07-16,2014-03-25,73,4,6726,46428963,AXDI,ISHARES TRUST,,37493,4,46428963,2010-07-16,2014-03-25,2.0,2010-07-16,2014-03-25
4788,11990,2010-07-15,2018-07-01,71,1,6282,48248M10,KKR,K K R & CO LP,,53463,1,48251W10,2010-07-15,2023-12-29,2.0,2010-07-15,2023-12-29
4789,11990,2018-07-02,2020-05-17,11,1,6282,48251W10,KKR,K K R & CO INC,A,53463,1,48251W10,2010-07-15,2023-12-29,2.0,2010-07-15,2023-12-29
4790,11990,2020-05-18,2021-03-23,11,1,5999,48251W10,KKR,K K R & CO INC,,53463,1,48251W10,2010-07-15,2023-12-29,2.0,2010-07-15,2023-12-29
4791,11990,2021-03-24,2023-12-29,11,1,5611,48251W10,KKR,K K R & CO INC,,53463,1,48251W10,2010-07-15,2023-12-29,2.0,2010-07-15,2023-12-29
4798,11993,2010-07-22,2013-01-03,11,2,5171,54335410,LPH,LONGWEI PETROLEUM INVT HLDG LTD,,53464,2,54335410,2010-07-22,2013-01-03,2.0,2010-07-22,2013-01-03
4804,11996,2010-07-23,2016-05-01,73,4,6726,57060U52,EMLC,MARKET VECTORS E T F TRUST,,50699,4,92189H30,2010-07-23,2023-12-29,2.0,2010-07-23,2023-12-29
4805,11996,2016-05-02,2018-10-25,73,4,6726,92189F49,EMLC,VANECK VECTORS E T F TRUST,,50699,4,92189H30,2010-07-23,2023-12-29,2.0,2010-07-23,2023-12-29
4806,11996,2018-10-26,2021-08-31,73,4,6726,92189H30,EMLC,VANECK VECTORS E T F TRUST,,50699,4,92189H30,2010-07-23,2023-12-29,2.0,2010-07-23,2023-12-29
4807,11996,2021-09-01,2023-12-29,73,4,6726,92189H30,EMLC,VANECK E T F TRUST,,50699,4,92189H30,2010-07-23,2023-12-29,2.0,2010-07-23,2023-12-29
4813,11999,2010-07-29,2015-06-24,11,1,1099,60875310,MCP,MOLYCORP INC DE,,53465,1,60875310,2010-07-29,2015-06-24,2.0,2010-07-29,2015-06-24
4836,12007,2010-07-14,2015-01-01,71,1,1221,69180710,OXF,OXFORD RESOURCE PARTNERS L P,,53466,1,96108P10,2010-07-14,2018-10-08,2.0,2010-07-14,2018-10-08
4837,12007,2015-01-02,2018-10-08,71,1,1221,96108P10,WMLP,WESTMORELAND RESOURCE PTNRS LP,,53466,1,96108P10,2010-07-14,2018-10-08,2.0,2010-07-14,2018-10-08
4847,12009,2010-07-06,2023-12-29,11,1,2752,74730110,QUAD,QUAD GRAPHICS INC,A,53467,1,74730110,2010-07-06,2023-12-29,2.0,2010-07-06,2023-12-29
4851,12011,2010-07-16,2016-03-22,11,1,3663,75604L10,RLD,REALD INC,,53468,1,75604L10,2010-07-16,2016-03-22,2.0,2010-07-16,2016-03-22
4854,12014,2010-07-02,2010-11-21,11,2,6163,75971B10,CBP,RENHUANG PHARMACEUTICALS INC,,53469,2,16890Y10,2010-07-02,2013-01-30,2.0,2010-07-02,2013-01-30
4855,12014,2010-11-22,2011-06-12,11,2,6163,16890Y10,CBP,CHINA BOTANIC PHARMACEUTICAL INC,,53469,2,16890Y10,2010-07-02,2013-01-30,2.0,2010-07-02,2013-01-30
4856,12014,2011-06-13,2013-01-30,11,2,2834,16890Y10,CBP,CHINA BOTANIC PHARMACEUTICAL INC,,53469,2,16890Y10,2010-07-02,2013-01-30,2.0,2010-07-02,2013-01-30
4857,12015,2010-07-28,2017-12-25,14,1,6726,89148B10,NTG,TORTOISE M L P FUND INC,,53470,1,89148B20,2010-07-28,2023-12-29,2.0,2010-07-28,2023-12-29
4858,12015,2017-12-26,2019-01-07,14,1,6722,89148B10,NTG,TORTOISE M L P FUND INC,,53470,1,89148B20,2010-07-28,2023-12-29,2.0,2010-07-28,2023-12-29
4859,12015,2019-01-08,2020-02-26,14,1,6722,89148B10,NTG,TORTOISE MIDSTREAM ENERGY FD INC,,53470,1,89148B20,2010-07-28,2023-12-29,2.0,2010-07-28,2023-12-29
4860,12015,2020-02-27,2020-04-30,14,1,6799,89148B10,NTG,TORTOISE MIDSTREAM ENERGY FD INC,,53470,1,89148B20,2010-07-28,2023-12-29,2.0,2010-07-28,2023-12-29
4861,12015,2020-05-01,2023-12-29,14,1,6799,89148B20,NTG,TORTOISE MIDSTREAM ENERGY FD INC,,53470,1,89148B20,2010-07-28,2023-12-29,2.0,2010-07-28,2023-12-29
4864,12017,2010-07-27,2011-06-13,11,2,7371,92911N10,VRNG,VRINGO INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4865,12017,2011-06-14,2013-04-29,11,2,4899,92911N10,VRNG,VRINGO INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4866,12017,2013-04-30,2015-11-29,11,3,4899,92911N10,VRNG,VRINGO INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4867,12017,2015-11-30,2016-05-08,11,3,4899,92911N30,VRNG,VRINGO INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4868,12017,2016-05-09,2018-01-07,11,3,4899,34634E10,FH,FORM HOLDINGS CORP,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4869,12017,2018-01-08,2019-02-24,11,3,4899,98420U10,XSPA,XPRESSPA GROUP INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4870,12017,2019-02-25,2020-06-10,11,3,4899,98420U60,XSPA,XPRESSPA GROUP INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4871,12017,2020-06-11,2022-10-24,11,3,4899,98420U70,XSPA,XPRESSPA GROUP INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4872,12017,2022-10-25,2023-09-27,11,3,4899,98420U70,XWEL,XWELL INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4873,12017,2023-09-28,2023-12-29,11,3,4899,98420U80,XWEL,XWELL INC,,53444,3,98420U80,2010-07-27,2023-12-29,2.0,2010-07-27,2023-12-29
4874,12018,2010-07-02,2013-10-01,12,3,9999,G0539K10,AERL,ASIA ENTERTAINMENT & RESOUR LTD,,53472,3,G5497120,2010-07-02,2018-05-11,2.0,2010-07-02,2018-05-11
4875,12018,2013-10-02,2017-04-26,12,3,9999,G4720410,IKGH,IAO KUN GROUP HOLDING CO LTD,,53472,3,G5497120,2010-07-02,2018-05-11,2.0,2010-07-02,2018-05-11
4876,12018,2017-04-27,2017-08-28,12,3,9999,G5497110,LINU,LINIU TECHNOLOGY GROUP,,53472,3,G5497120,2010-07-02,2018-05-11,2.0,2010-07-02,2018-05-11
4877,12018,2017-08-29,2018-05-11,12,3,9999,G5497120,LINU,LINIU TECHNOLOGY GROUP,,53472,3,G5497120,2010-07-02,2018-05-11,2.0,2010-07-02,2018-05-11
4881,12021,2010-07-01,2014-07-17,31,3,9999,05330F10,AMAP,AUTONAVI HOLDINGS LTD,,53473,3,05330F10,2010-07-01,2014-07-17,2.0,2010-07-01,2014-07-17
4883,12023,2010-07-20,2014-07-28,12,3,9999,G8883T10,OINK,TIANLI AGRITECH INC,,53474,3,G1288E10,2010-07-20,2019-07-09,2.0,2010-07-20,2019-07-09
4884,12023,2014-07-29,2016-09-08,12,3,9999,G0404E10,ABAC,AOXIN TIANLI GROUP INC,,53474,3,G1288E10,2010-07-20,2019-07-09,2.0,2010-07-20,2019-07-09
4885,12023,2016-09-09,2017-11-12,12,3,9999,G0404E11,ABAC,AOXIN TIANLI GROUP INC,,53474,3,G1288E10,2010-07-20,2019-07-09,2.0,2010-07-20,2019-07-09
4886,12023,2017-11-13,2019-01-16,12,3,9999,G7500A10,ABAC,RENMIN TIANLI GROUP INC,,53474,3,G1288E10,2010-07-20,2019-07-09,2.0,2010-07-20,2019-07-09
4887,12023,2019-01-17,2019-04-11,12,3,9999,G7500A10,BIQI,RENMIN TIANLI GROUP INC,,53474,3,G1288E10,2010-07-20,2019-07-09,2.0,2010-07-20,2019-07-09
4888,12023,2019-04-12,2019-07-09,12,3,9999,G1288E10,BIQI,B I Q I INTERNATIONAL HLDNGS COR,,53474,3,G1288E10,2010-07-20,2019-07-09,2.0,2010-07-20,2019-07-09
4890,12025,2010-07-07,2015-02-20,11,3,9999,71103710,PEOP,PEOPLES FEDERAL BANCSHARES INC,,53475,3,71103710,2010-07-07,2015-02-20,2.0,2010-07-07,2015-02-20
4891,12026,2010-07-16,2016-08-22,11,3,9999,74733T10,QLIK,QLIK TECHNOLOGIES INC,,53476,3,74733T10,2010-07-16,2016-08-22,2.0,2010-07-16,2016-08-22
4892,12027,2010-07-15,2016-05-11,12,3,9999,83172R10,SMT,SMART TECHNOLOGIES INC,,53477,3,83172R20,2010-07-15,2016-09-14,2.0,2010-07-15,2016-09-14
4893,12027,2016-05-12,2016-09-14,12,3,9999,83172R20,SMT,SMART TECHNOLOGIES INC,,53477,3,83172R20,2010-07-15,2016-09-14,2.0,2010-07-15,2016-09-14
4896,12030,2010-07-08,2016-01-13,11,3,6719,88603110,THTI,T H T HEAT TRANSFER TECHNOL INC,,53478,3,88603110,2010-07-08,2016-01-13,2.0,2010-07-08,2016-01-13
4899,12032,2010-07-07,2010-07-12,11,3,1000,98978F20,ZOO,ZOO ENTERTAINMENT INC,,53479,3,98978F20,2010-07-07,2011-11-18,2.0,2010-07-07,2011-11-18
4900,12032,2010-07-13,2011-11-18,11,3,1000,98978F20,ZOOG,ZOO ENTERTAINMENT INC,,53479,3,98978F20,2010-07-07,2011-11-18,2.0,2010-07-07,2011-11-18
4904,12034,2010-02-26,2011-06-13,75,4,6726,85207H10,PHYS,SPROTT PHYSICAL GOLD TRUST,,53343,4,85207H10,2010-02-26,2023-12-29,2.0,2010-02-26,2023-12-29
4905,12034,2011-06-14,2011-10-19,75,4,8742,85207H10,PHYS,SPROTT PHYSICAL GOLD TRUST,,53343,4,85207H10,2010-02-26,2023-12-29,2.0,2010-02-26,2023-12-29
4906,12034,2011-10-20,2013-07-24,75,4,6221,85207H10,PHYS,SPROTT PHYSICAL GOLD TRUST,,53343,4,85207H10,2010-02-26,2023-12-29,2.0,2010-02-26,2023-12-29
4907,12034,2013-07-25,2020-05-03,75,4,6726,85207H10,PHYS,SPROTT PHYSICAL GOLD TRUST,,53343,4,85207H10,2010-02-26,2023-12-29,2.0,2010-02-26,2023-12-29
4908,12034,2020-05-04,2021-07-05,75,4,6221,85207H10,PHYS,SPROTT PHYSICAL GOLD TRUST,,53343,4,85207H10,2010-02-26,2023-12-29,2.0,2010-02-26,2023-12-29
4909,12034,2021-07-06,2023-12-29,75,4,6726,85207H10,PHYS,SPROTT PHYSICAL GOLD TRUST,,53343,4,85207H10,2010-02-26,2023-12-29,2.0,2010-02-26,2023-12-29
4910,12035,2010-08-25,2020-05-17,73,4,6726,00162Q86,AMLP,ALPS E T F TRUST,,53005,4,00162Q45,2010-08-25,2023-12-29,2.0,2010-08-25,2023-12-29
4911,12035,2020-05-18,2023-12-29,73,4,6726,00162Q45,AMLP,ALPS E T F TRUST,,53005,4,00162Q45,2010-08-25,2023-12-29,2.0,2010-08-25,2023-12-29
4924,12038,2010-08-06,2013-03-22,31,1,8299,02322P10,AMBO,AMBOW EDUCATION HOLDING LTD,,53480,1,02322P10,2010-08-06,2013-03-22,2.0,2010-08-06,2013-03-22
4925,12039,2010-08-27,2015-08-24,44,1,6726,09248X10,BBN,BLACKROCK BUILD AMERICA BOND TR,,53481,1,09248X10,2010-08-27,2023-12-29,2.0,2010-08-27,2023-12-29
4926,12039,2015-08-25,2017-12-25,44,1,6726,09248X10,BBN,BLACKROCK TAXABLE MUNI BOND TR,,53481,1,09248X10,2010-08-27,2023-12-29,2.0,2010-08-27,2023-12-29
4927,12039,2017-12-26,2023-12-29,44,1,6733,09248X10,BBN,BLACKROCK TAXABLE MUNI BOND TR,,53481,1,09248X10,2010-08-27,2023-12-29,2.0,2010-08-27,2023-12-29
4935,12043,2010-08-11,2011-06-13,31,1,8731,16890V10,KH,CHINA KANGHUI HOLDINGS,,53482,1,16890V10,2010-08-11,2012-10-31,2.0,2010-08-11,2012-10-31
4936,12043,2011-06-14,2012-10-31,31,1,3841,16890V10,KH,CHINA KANGHUI HOLDINGS,,53482,1,16890V10,2010-08-11,2012-10-31,2.0,2010-08-11,2012-10-31
4950,12047,2010-08-11,2016-10-18,73,4,6726,26846184,INXX,E G A EMERGING GLOBAL SHARES TR,,53146,4,19762B80,2010-08-11,2019-06-14,2.0,2010-08-11,2019-06-14
4951,12047,2016-10-19,2019-06-14,73,4,6726,19762B80,INXX,COLUMBIA E T F TRUST II,,53146,4,19762B80,2010-08-11,2019-06-14,2.0,2010-08-11,2019-06-14
4953,12049,2010-08-30,2023-12-29,11,2,1041,38068T10,GORO,GOLD RESOURCE CORP,,53483,2,38068T10,2010-08-30,2023-12-29,2.0,2010-08-30,2023-12-29
4955,12051,2010-08-06,2011-06-13,11,1,7379,46118H10,IL,INTRALINKS HOLDINGS INC,,53484,1,46118H10,2010-08-06,2017-01-19,2.0,2010-08-06,2017-01-19
4956,12051,2011-06-14,2017-01-19,11,1,7372,46118H10,IL,INTRALINKS HOLDINGS INC,,53484,1,46118H10,2010-08-06,2017-01-19,2.0,2010-08-06,2017-01-19
4964,12054,2010-08-25,2013-06-30,73,4,6726,57060U56,SCIF,MARKET VECTORS E T F TRUST,,50699,4,92189F76,2010-08-25,2023-12-29,2.0,2010-08-25,2023-12-29
4965,12054,2013-07-01,2016-05-01,73,4,6726,57061R55,SCIF,MARKET VECTORS E T F TRUST,,50699,4,92189F76,2010-08-25,2023-12-29,2.0,2010-08-25,2023-12-29
4966,12054,2016-05-02,2020-04-30,73,4,6726,92189F76,SCIF,VANECK VECTORS E T F TRUST,,50699,4,92189F76,2010-08-25,2023-12-29,2.0,2010-08-25,2023-12-29
4967,12054,2020-05-01,2021-08-31,73,4,6726,92189F76,GLIN,VANECK VECTORS E T F TRUST,,50699,4,92189F76,2010-08-25,2023-12-29,2.0,2010-08-25,2023-12-29
4968,12054,2021-09-01,2023-12-29,73,4,6726,92189F76,GLIN,VANECK E T F TRUST,,50699,4,92189F76,2010-08-25,2023-12-29,2.0,2010-08-25,2023-12-29
4970,12056,2010-08-16,2013-04-16,11,2,3692,64384710,NEWN,NEW ENERGY SYSTEMS GROUP,,53485,2,64384710,2010-08-16,2013-04-16,2.0,2010-08-16,2013-04-16
4971,12057,2010-08-18,2015-01-28,12,2,6799,75381M10,REE,RARE ELEMENT RESOURCES LTD,,53486,2,75381M10,2010-08-18,2016-02-26,2.0,2010-08-18,2016-02-26
4972,12057,2015-01-29,2016-02-26,12,2,1081,75381M10,REE,RARE ELEMENT RESOURCES LTD,,53486,2,75381M10,2010-08-18,2016-02-26,2.0,2010-08-18,2016-02-26
4975,12059,2010-08-06,2023-12-29,73,4,6726,80852485,SCHR,SCHWAB STRATEGIC TRUST,,53271,4,80852485,2010-08-06,2023-12-29,2.0,2010-08-06,2023-12-29
4997,12064,2010-08-06,2023-12-29,73,4,6726,80852486,SCHO,SCHWAB STRATEGIC TRUST,,53271,4,80852486,2010-08-06,2023-12-29,2.0,2010-08-06,2023-12-29
4998,12065,2010-08-06,2023-12-29,73,4,6726,80852487,SCHP,SCHWAB STRATEGIC TRUST,,53271,4,80852487,2010-08-06,2023-12-29,2.0,2010-08-06,2023-12-29
4999,12066,2010-08-10,2011-05-25,74,4,6770,91171710,USCI,UNITED STATES COMMODITY IND FUND,,53487,4,91171710,2010-08-10,2023-12-29,2.0,2010-08-10,2023-12-29
5000,12066,2011-05-26,2021-03-28,74,4,6221,91171710,USCI,UNITED STATES COMMODITY IND FUND,,53487,4,91171710,2010-08-10,2023-12-29,2.0,2010-08-10,2023-12-29
5001,12066,2021-03-29,2023-12-29,74,4,6722,91171710,USCI,UNITED STATES COMMODITY IND FUND,,53487,4,91171710,2010-08-10,2023-12-29,2.0,2010-08-10,2023-12-29
5010,12070,2010-08-26,2012-06-27,48,2,6798,96608420,WSR,WHITESTONE REIT,B,53488,1,96608420,2010-08-26,2023-12-29,2.0,2010-08-26,2023-12-29
5011,12070,2012-06-28,2012-06-28,48,2,6798,96608420,WSR,WHITESTONE REIT,,53488,1,96608420,2010-08-26,2023-12-29,2.0,2010-08-26,2023-12-29
5012,12070,2012-06-29,2023-12-29,48,1,6798,96608420,WSR,WHITESTONE REIT,,53488,1,96608420,2010-08-26,2023-12-29,2.0,2010-08-26,2023-12-29
5027,12075,2010-08-09,2023-12-29,73,4,6726,97717X86,ELD,WISDOMTREE TRUST,,50852,4,97717X86,2010-08-09,2023-12-29,2.0,2010-08-09,2023-12-29
5029,12077,2010-08-05,2012-07-25,12,3,9999,M2809110,DMED,D MEDICAL INDUSTRIES LTD,,53489,3,M2809110,2010-08-05,2012-07-25,2.0,2010-08-05,2012-07-25
5030,12078,2010-08-13,2011-10-02,11,3,9999,28540910,ELMD,ELECTROMED INC,,53490,2,28540910,2010-08-13,2023-12-29,2.0,2010-08-13,2023-12-29
5031,12078,2011-10-03,2020-03-18,11,2,3845,28540910,ELMD,ELECTROMED INC,,53490,2,28540910,2010-08-13,2023-12-29,2.0,2010-08-13,2023-12-29
5032,12078,2020-03-19,2023-12-29,11,2,3841,28540910,ELMD,ELECTROMED INC,,53490,2,28540910,2010-08-13,2023-12-29,2.0,2010-08-13,2023-12-29
